Name of Judge,Date of appointment to SC,Date of retirement from SC,Whether CJI of SC,"If yes, date of appointment as CJI",Date of Birth,State of Birth,Gender,Religion,Caste (Savarna/ OBC/SC/ST),Highest Degree Obtained from university,Year of Enrollment to Bar,Which State Bar was he enrolled in,Was Senior Advocate?,"If Yes, Year of appointment as Senior Advocate",Whether direct appointee to SC?,"If no, parent HC","Nature of Appointment to parent HC (1 = Permanent, 0=Addl, 3= DNA)",Date of appointment to such parent HC addln.,Whether made permanent at parent HC [Y/N],Date of appointment to such parent HC permanently,Appointment in any other HC as a judge?,Name of Such other  1,Name of Such other  2,Date of appointment to such  2,Whether CJ of a ? Y/N,"If Y, how many?",Date of appointment as Chief Justice of  (first such appointment).,Name of the HC where appointed as Chief Justice  (first such appointment).,Date of Second Appointment as CJ,Name of the HC where appointed as Chief Justice  (second such appointment).,Date of Third Appointment as CJ,Name of the HC where appointed as Chief Justice  (Third such appointment).,Whether a trial court judge,Whether a government lawyer (public prosecutor/ standing counsel for a state/ law officer),"If yes, what type",Area of Practice 1 (in order mentioned in profile),Area of Practice 2,Area of Practice 3,Area of Practice 4,Area of Practice 5,Area of Practice 6,Area of Practice 7,Area of Practice 8,Area of Practice 9
Abdul Nazeer,17-02-2017,04-01-2023,0,NA,05-01-1958,NA,0,NA,NA,NA,1983,NA,NA,NA,0,Karnataka,0,12-05-2003,1,24-09-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Navin Sinha,17-02-2017,18-08-2021,0,NA,19-08-1956,NA,0,NA,NA,Delhi University,1979#,Patna#,0,NA,0,Patna,NA,NA,1,11-02-2004,1,Chhattisgarh,Rajasthan,NA,1,1,14-05-2016,NA,14-05-2016,Rajasthan,NA,NA,0,1,NA,Civil,Constitutional,Labour,Service,Commercial,Company (Limited),Criminal Matters,NA,NA
Indu Malhotra,27-04-2018,13-03-2021,0,NA,14-03-1956,Karnataka,1,NA,NA,Delhi University,1983,Delhi,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indira Banerjee,07-08-2018,23-09-2022,0,NA,24-09-1957,NA,1,NA,NA,"College of Law, Calcutta University",1985,NA,0,NA,0,Calcutta,NA,NA,1,05-02-2002,1,Delhi,NA,NA,1,1,05-04-2017,Madras,NA,NA,NA,NA,0,0,NA,Except criminal law,NA,NA,NA,NA,NA,NA,NA,NA
Vineet Saran,07-08-2018,10-05-2022,0,NA,11-05-1957,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K.M. Joseph,07-08-2018,16-06-2023,0,NA,17-06-1958,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemant Gupta,02-11-2018,04-01-2022,0,NA,17-10-1957,NA,0,NA,NA,NA,1980,NA,NA,NA,0,Punjab and Haryana,NA,NA,1,02-07-2002,1,Patna,NA,NA,1,2,29-10-2017,Patna,18-03-2017,Madhya Pradesh,NA,NA,0,1,Additional Advocate General (Punjab),Civil,NA,NA,NA,NA,NA,NA,NA,NA
R. Subhash Reddy,02-11-2018,04-01-2022,0,NA,05-01-1957,Telangana,0,NA,NA,"Osmania University, Hyderabad",1980,Andhra Pradesh,NA,NA,0,Andhra Pradesh,0,02-12-2002,1,24-06-2004,NA,NA,NA,NA,1,1,12-02-2016,Gujarat,NA,NA,NA,NA,0,0,NA,Civil,Criminal,Constitutional,NA,NA,NA,NA,NA,NA
Mukeshkumar Rasikbhai Shah,02-11-2018,15-05-2023,0,NA,16-05-1958,NA,0,NA,NA,NA,1982,NA,NA,NA,0,Gujarat,0,07-03-2004,1,22-06-2005,0,NA,NA,NA,1,1,12-08-2018,Patna,NA,NA,NA,NA,0,0,NA,Civil,Criminal,Constitutional,Taxation,Labour,Service,Company matters,Land,Excise &custom
Ajay Rastogi,02-11-2018,17-06-2023,0,NA,18-06-1958,NA,0,NA,NA,NA,1982,NA,NA,NA,0,Rajasthan,NA,NA,1,19-07-2014,0,NA,NA,NA,1,2,14-04-2016,Rajasthan,01-03-2018,Tripura,NA,NA,0,0,NA,Constitutional,Service,NA,NA,NA,NA,NA,NA,NA
Dinesh Maheshwari,18-01-2019,14-05-2023,0,NA,15-05-1958,Rajasthan,0,NA,NA,Jodhpur University,1981,Rajasthan,NA,NA,0,Rajasthan,NA,NA,1,02-09-2004,1,Allahabad,NA,NA,1,2,24-02-2016,Meghalaya,12-02-2018,Karnataka,NA,NA,0,0,NA,Civil,Constitutional,NA,NA,NA,NA,NA,NA,NA
Sanjiv Khanna,18-01-2019,13-05-2025,0,NA,14-05-1960,NA,0,NA,NA,"Campus Law Centre, Delhi University",1983,Delhi,NA,NA,0,Delhi,0,24-06-2005,1,20-02-2006,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Additional Public Prosecutor,Writ,Taxation,Income tax prosecutions,Arbitration,Commercial suits,Environment and pollution law matters,Medical negligence cases,Criminal cases*,Cases for Income Tax Dept.
Bhushan Ramakrishna Gavai,24-05-2019,23-11-2025,0,NA,24-11-1960,Maharashtra,0,NA,NA,NA,1985,NA,NA,NA,0,Bombay,0,14-11-2003,1,12-11-2005,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Government Pleader and Public Prosecutor,Constitutional,Administrative,NA,NA,NA,NA,NA,NA,NA
Surya Kant,24-05-2019,09-02-2027,0,NA,10-02-1962,Haryana,0,NA,NA,"Maharishi Dayanand University, Rohtak",NA,NA,1,2001,0,Punjab and Haryana,NA,NA,1,09-01-2004,0,NA,NA,NA,1,1,05-10-2018,Himachal Pradesh,NA,NA,NA,NA,0,1,Advocate General,Constitutional,Service,Civil,NA,NA,NA,NA,NA,NA
Aniruddha Bose,24-05-2019,10-04-2024,0,NA,11-04-1959,NA,0,NA,NA,"Surendranath Law College, Kolkata",1985,Calcutta,0,NA,0,Calcutta,NA,NA,1,01-01-2004,0,NA,NA,NA,1,1,11-08-2018,Jharkhand,NA,NA,NA,NA,0,0,NA,Constitutional,Civil,IPR,NA,NA,NA,NA,NA,NA
Ajjikuttira Somaiah Bopanna,24-05-2019,19-05-2024,0,NA,20-05-1959,NA,0,NA,NA,NA,1984,NA,0,NA,0,Karnataka,0,06-01-2006,1,01-03-2007,0,NA,NA,NA,1,1,29-10-2018,Gauhati,NA,NA,NA,NA,0,1,Additional Central Government Standing Counsel,Civil,Constitutional,Company,Service,Labour,NA,NA,NA,NA
Krishna Murari,23-09-2019,08-07-2023,0,NA,09-07-1958,NA,0,NA,NA,Allahabad University,1981,NA,0,NA,0,Allahabad,0,07-01-2004,1,18-08-2005,0,NA,NA,NA,1,1,02-06-2018,"Punjab and Haryana, Chandigarh",NA,NA,NA,NA,0,1,Standing Counsel of UP.....,Civil,Constitutional,Company,Service,Revenue,NA,NA,NA,NA
Shripathi Ravindra Bhat,23-09-2019,20-10-2023,0,NA,21-10-1958,Karnataka,0,NA,NA,"Campus Law Centre, Faculty of Law, University of Delhi",1982,Delhi,0,NA,0,Delhi,0,16-07-2004,1,20-02-2006,0,NA,NA,NA,1,1,05-05-2019,Rajasthan,NA,NA,NA,NA,0,0,NA,Public,Employment,Education,Constitutional,NA,NA,NA,NA,NA
V. Ramasubramanian,23-09-2019,29-06-2023,0,NA,30-06-1958,NA,0,NA,NA,Madras Law College,1983,NA,0,NA,0,Madras,0,31-07-2006,1,09-11-2009,1,Telangana,NA,NA,1,1,22-06-2019,Himachal Pradesh,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hrishikesh Roy,23-09-2019,31-01-2025,0,NA,01-02-1960,NA,0,NA,NA,"Campus Law Centre, University of Delhi",NA,NA,1,2004,0,Gauhati,0,12-10-2006,1,15-07-2008,NA,NA,NA,NA,1,1,08-08-2018,Kerala,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harilal Jekisundas Kania
",26-01-1950,06-11-1951,1,26-01-1950,03-11-1980,Gujarat,0,Hindu,NA,"Government Law College, Bombay",NA,Maharashtra,NA,NA,0,Bombay,0,01-06-1931,1,01-06-1933,NA,NA,NA,NA,1,1,1944-45*,Bombay,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mundakulathur Patanjali Sastri
",26-01-1950,03-01-1954,1,07-11-1951,1889/01/04,Tamil Nadu,0,Hindu,NA,Madras University,1914,Tamil Nadu,NA,NA,0,Madras,1,NA,1,15-03-1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mehr Chand Mahajan,26-01-1950,22-12-1954,1,04-01-1954,1889/12/23,Himachal Pradesh,0,Hindu,NA,Punjab University,1913,Punjab,NA,NA,0,Lahore,1,NA,1,27-09-1943,1,East Punjab,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Constitutional Adviser to His Highness the Maharaja of Bikaner,Civil,Constitution,NA,NA,NA,NA,NA,NA,NA
"Bijan Kumar Mukherjea
",26-01-1950,31-01-1956,1,23-12-1954,1891/08/15,West Bengal,0,NA,NA,Calcutta University,1914,West Bengal,0,1936,0,Calcutta,0,09-11-1936,1,03-07-1939,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Senior Government Pleader,Publication Problems Law,NA,NA,NA,NA,NA,NA,NA,NA
"Sudhi Ranjan Das
",26-01-1950,30-09-1959,1,02-02-1956,1894/10/01,West Bengal,0,NA,NA,Calcutta University,1919,West Bengal,0,NA,0,Calcutta,0,01-12-1942,1,11-11-1944,1,Punjab,NA,NA,1,1,19-01-1949,Punjab,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhuvneshwar Prasad Sinha
",03-12-1954,31-01-1964,1,01-10-1959,1899/02/01,Bihar,0,NA,NA,Patna University,1922,Bihar,NA,NA,0,Patna,0,06-01-1943,1,06-12-1943,1,Nagpur,NA,NA,1,1,24-02-1951,Nagpur,NA,NA,NA,NA,0,1,Assistant Government Advocate,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pralhad Balacharya Gajendragadkar,17-01-1957,15-03-1966,1,01-02-1964,16-03-1901,Maharashtra,0,Hindu,Brahmin,"Law College, Poona",1926,Maharashtra,0,NA,0,Bombay,0,06-03-1945,1,01-03-1947,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Hindu Law,International Law,NA,NA,NA,NA,NA,NA,NA
Amal Kumar Sarkar,04-03-1957,29-06-1966,1,16-03-1966,09-06-1901,West Bengal,0,NA,NA,Calcutta University,1930,West Bengal,0,NA,0,Calcutta,0,25-01-1949,1,23-01-1950,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koka Subba Rao
",31-01-1958,11-04-1967,1,30-06-1966,15-07-1902,Andhra Pradesh,0,NA,NA,"Law College, Madras",1926,Tamil Nadu,0,NA,0,Madras,1,NA,1,22-03-1948,1,Andhra Pradesh,NA,NA,1,1,05-07-1954,"Andhra  , Guntur",01-11-1956,Andhra Pradesh,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kailas Nath Wanchoo
",08-11-1958,24-02-1968,1,12-04-1967,25-02-1903,Madhya Pradesh,0,Hindu,Brahmin,Allahabad University; University of Oxford,NA [look up],NA,0,NA,0,Allahabad,0,01-02-1947,1,12-12-1947,1,Rajasthan,NA,NA,1,1,02-01-1951,Rajasthan,NA,NA,NA,NA,1,1,GoI counsel,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohammad  Hidayatullah
",12-01-1958,16-12-1970,1,25-02-1968,17-12-1905,Chattisgarh,0,Islam,NA,"Trinity College, Cambridge",1930,Maharashtra,0,NA,0,Bombay,NA,NA,1,07-05-1905,1,Madhya Pradesh,NA,NA,1,2,07-05-1905,Nagpur,01-11-1956,Madhya Pradesh,NA,NA,0,1,Advocate-General,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jayantilal Chhotalal Shah,10-12-1959,21-01-1971,1,17-12-1970,22-01-1906,Gujarat,0,Hindu,NA,"Elphinstone College, Bombay",Na,Maharashtra,0,NA,0,Bombay,NA,NA,1,[till October 1959],0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarv Mittra Sikri,03-02-1964,25-04-1973,1,22-01-1971,26-04-1908,Punjab,0,Hindu,NA,NA,1930,Punjab,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Advocate-General, Punjab",International Law,Irrigation and Power,International Law,NA,NA,NA,NA,NA,NA
"A.N. Ray
",08-01-1969,28-01-1977,1,26-04-1973,29-01-1912,West Bengal,0,Hindu,NA,University of Oxford,1939,West Bengal,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mirza Hameedullah Beg,12-10-1971,21-02-1978,1,29-01-1977,22-02-1913,Uttar Pradesh,0,NA,NA,Cambridge,1941,Uttar Pradesh,0,No,0,Allahabad,NA,NA,1,11-06-1963,1,Himachal Pradesh,NA,NA,1,1,01-01-1971,Himachal,NA,NA,NA,NA,0,1,Standing Counsel for U.P. Sunni Central Wakf Board [point of clarification: wether state],Criminal Law,Civil Law (Company),NA,NA,NA,NA,NA,NA,NA
Yeshwant Vishnu Chandrachud,28-08-1972,11-07-1985,1,22-02-1978,12-06-1920,Maharashtra,0,Hindu,NA,University of Bombay,1943,Maharashtra,0,NA,0,Bombay,NA,NA,1,19-03-1961,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Assistant Government Pleader,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P.N. Bhagwati
",17-07-1973,20-12-1986,1,07-12-1985,21-12-1921,Maharashtra,0,Hindu,NA,"Government Law College, Bombay",NA,Maharashtra,0,NA,0,Bombay,NA,NA,1,21-07-1960,1,Gujarat,NA,NA,1,1,16-09-1967,Gujarat,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raghunandan Swarup Pathak
",20-02-1978,18-06-1989,1,21-12-1986,25-11-1924,Uttar Pradesh,0,Hindu,NA,Allahabad University,1948,Uttar Pradesh,0,NA,0,Allahabad,0,10-01-1962,1,NA,1,Himachal,NA,NA,1,1,18-03-1972,Himachal,NA,NA,NA,NA,0,0,NA,Constitutional Law,Income-tax,Sales Tax and other Taxation Laws,Civil Law,Company Law,Industrial Disputes,NA,NA,NA
"Engalaguppe Seetharamiah Venkataramiah
",03-08-1979,17-12-1989,1,19-06-1989,18-12-1924,Maharashtra,0,Hindu,NA,Bombay University,1948,Karnataka,0,N,0,Karnataka,0,25-06-1970,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,"Special Government Pleader, Government Advocate, Government of Mysore; Advocate General, Mysore",Civil Laws,Criminal Laws,NA,NA,NA,NA,NA,NA,NA
"Sabyasachi Mukherjee
",15-03-1983,25-09-1990,1,18-12-1989,01-06-1927,West Bengal,0,Hindu,NA,Calcutta University,1949,Calcutta,0,NA,0,Calcutta,NA,NA,1,31-07-1968,NA,NA,NA,NA,1,1,1.3.1983*,Calcutta,NA,NA,NA,NA,0,0,NA,Civil Laws,Revenue,Constitutional,NA,NA,NA,NA,NA,NA
Ranganath Misra,15-03-1983,24-11-1991,1,25-09-1990,25-11-1926,Uttar Pradesh,0,Hindu,NA,Allahabad University,1950,Orissa,0,NA,0,Orissa,NA,NA,1,04-07-1969,0,NA,NA,NA,1,1,"November 6, 1980*",Orissa,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamal Narain Singh,10-03-1986,12-12-1991,1,25-11-1991,13-12-1926,Uttar Pradesh,0,Hindu,NA,Allahabad University,1957,Uttar Pradesh,0,NA,0,Allahabad,0,25-08-1970,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Standing Counsel and later Advoacte General for UP,Civil,Constitutional,Taxation,NA,NA,NA,NA,NA,NA
"Madhukar Hiralal Kania
",01-05-1987,17-11-1992,1,13-12-1991,18-11-1927,Maharashtra,0,Hindu,NA,Bombay University,NA,Maharashtra,0,NA,0,Bombay,0,11-04-1969,1,NA,0,NA,NA,NA,1,1,"October,1985*",Bombay,NA,NA,NA,NA,0,1,Government Pleader,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lalit Mohan Sharma
",05-10-1987,02-11-1993,1,18-11-1992,12-02-1928,Bihar,0,Hindu,NA,Patna University,1950,Bihar,1,NA,0,Patna,NA,NA,1,12-04-1973,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M.N. Venkatachaliah
",05-10-1987,24-10-1994,1,02-12-1993,25-10-1929,Karnataka,0,NA,NA,University of Mysore,1951,Karnataka,0,NA,0,Karnataka,NA,NA,1,06-11-1975,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aziz Mushabeer Ahmadi
",14-12-1988,24-03-1997,1,25-10-1994,25-03-1932,Gujarat,0,NA,NA,NA,1954,Gujarat,0,NA,0,Gujarat,NA,NA,1,02-09-1976,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jagdish Sharan Verma
",03-06-1989,17-01-1998,1,25-03-1997,18-01-1933,Madhya Pradesh,0,NA,NA,University of Allahabad,1959,Madhya Pradesh,0,NA,0,Madhya Pradesh,0,09-12-1972,NA,NA,1,Rajasthan,NA,NA,1,2,27.10.1985*,Madhya Pradesh,1.9.1986,Rajasthan,NA,NA,0,0,NA,constitutional,civil,criminal,taxation,revenue,NA,NA,NA,NA
Madan Mohan Punchhi,06-10-1989,10-09-1998,1,18-01-1998,10-10-1933,"Montgomery, Pakistan",0,NA,NA,Delhi University,1955,Punjab,0,NA,0,Punjab,0,24-10-1979,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dr. Adarsh Sein Anand
",18-11-1991,31-10-2001,1,10-10-1998,01-11-1936,Jammu and Kashmir,0,NA,NA,Lucknow University; London University,1964,Punjab,0,NA,0,Jammu and Kashmir,0,26-05-1975,NA,NA,1,Madras,NA,NA,1,2,26.5.1984*,Jammu and Kashmir,1.11.1989,Madras,NA,NA,0,0,NA,Constitutional Law of the Commonwealth,Labour Laws,NA,NA,NA,NA,NA,NA,NA
"Sam Piroj Bharucha
",01-07-1992,05-05-2002,1,11-01-2001,05-05-1937,Maharashtra,0,NA,NA,NA,1960,Maharsashtra,0,NA,0,Bombay,NA,NA,1,19-08-1977,1,Karnataka,NA,NA,1,1,01-11-1991,Karnataka,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhupinder Nath Kirpal
",11-09-1995,11-07-2002,1,05-06-2002,11-08-1937,Delhi,0,NA,NA,NA,1962,Delhi,0,N,0,Delhi,0,20-11-1979,1,NA,1,Gujarat,NA,NA,1,1,14-12-1993,Gujarat,NA,NA,NA,NA,0,1,Central Government Standing Counsel,NA,Taxation,NA,NA,NA,NA,NA,NA,NA
"Gopal Ballav Patnaik
",11-09-1995,18-12-2002,1,11-08-2002,19-12-1937,Orissa,0,NA,NA,NA,1962,Orissa,0,N,0,Orissa,NA,NA,1,01-06-1983,1,Patna,NA,NA,1,1,19-05-1995,Patna,NA,NA,NA,NA,0,1,Government Advocate,Civil,Criminal,Constitutional,Company,NA,NA,NA,NA,NA
"Visheshwar Nath Khare
",21-03-1997,05-01-2004,1,19-12-2002,02-05-1939,Uttar Pradesh,0,NA,NA,NA,1961,Uttar Pradesh,0,NA,0,Allahabad,NA,NA,1,25-06-1983,1,Calcutta,NA,NA,1,1,02-02-1996,Calcutta,NA,NA,NA,NA,0,1,Chief Standing Counsel for UP State Government,Civil,Writ,Revenue,NA,NA,NA,NA,NA,NA
"S. Rajendra Babu
",25-09-1997,31-05-2004,1,05-02-2004,01-06-1939,Karnataka,0,NA,NA,NA,1969,Karnataka,0,NA,0,Karnataka,NA,NA,1,19-02-1988,0,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,0,1,Government Pleader for Government of Karnataka,Taxation,Constitutional,Civil,NA,NA,NA,NA,NA,NA
"Ramesh Chandra Lahoti
",09-12-1998,31-10-2005,1,06-01-2004,11-01-1940,Madhya Pradesh,0,NA,NA,NA,1962,Madhya Pradesh,0,NA,0,Madhya Pradesh,0,03-05-1988,1,NA,1,Delhi,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y.K. Sabharwal
",28-01-2000,13-01-2007,1,11-01-2005,14-01-1942,Delhi,0,NA,NA,NA,1964,Delhi,0,N,0,Delhi,0,17-11-1986,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,International Law,Constitutional matters,Criminal Laws,Public Interest Litigation,Environmental Laws,NA,NA,NA,NA
"Konakuppakatil Gopinathan Balakrishnan
",08-06-2000,05-12-2010,1,14-01-2007,05-12-1945,Kerala,0,NA,NA,NA,1973,Kerala,0,NA,0,Kerala,NA,NA,1,26-09-1985,1,Gujarat,Madras,NA,1,1,09-09-1999,Madras,NA,NA,NA,NA,0,0,NA,Civil Laws,Criminal Laws,NA,NA,NA,NA,NA,NA,NA
"S.H. Kapadia
",18-12-2003,28-09-2012,1,05-12-2010,29-09-1947,Maharashtra,0,NA,NA,NA,1974,Maharashtra,0,NA,0,Bombay,0,08-10-1991,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Letters Patent Appeals,Writs,matters under Negotiable Instruments Act,Detention Matters,matters under Bombay Rent Act,NA,NA,NA,NA
